iter	Passed	Remaining
0	19	14394
1	44	16533
2	56	14058
3	70	13235
4	156	23278
5	241	29903
6	326	34618
7	410	38056
8	495	40763
9	579	42855
10	664	44667
11	749	46108
12	834	47305
13	918	48283
14	1003	49176
15	1022	46907
16	1107	47768
17	1191	48446
18	1274	49026
19	1287	47004
20	1370	47582
21	1452	48078
22	1537	48587
23	1621	49049
24	1634	47409
25	1717	47831
26	1801	48248
27	1885	48612
28	1968	48939
29	2051	49224
30	2135	49520
31	2218	49775
32	2301	50003
33	2385	50236
34	2467	50399
35	2551	50596
36	2613	50367
37	2696	50524
38	2778	50660
39	2860	50776
40	2943	50907
41	3025	51008
42	3111	51153
43	3197	51299
44	3281	51405
45	3363	51476
46	3446	51555
47	3528	51606
48	3611	51672
49	3695	51731
50	3713	50890
51	3795	50940
52	3812	50139
53	3895	50203
54	3933	49705
55	3970	49204
56	4053	49280
57	4135	49344
58	4220	49426
59	4303	49489
60	4386	49549
61	4469	49596
62	4486	48928
63	4569	48977
64	4652	49032
65	4736	49089
66	4818	49124
67	4902	49165
68	4985	49205
69	5067	49229
70	5150	49255
71	5232	49275
72	5270	48878
73	5289	48315
74	5304	47737
75	5318	47168
76	5403	47225
77	5413	46641
78	5424	46074
79	5436	45527
80	5447	44991
81	5458	44464
82	5469	43951
83	5480	43455
84	5490	42956
85	5572	43026
86	5610	42755
87	5635	42394
88	5718	42467
89	5742	42109
90	5824	42181
91	5863	41934
92	5945	42004
93	6029	42078
94	6113	42148
95	6196	42214
96	6280	42282
97	6365	42349
98	6376	41932
99	6460	41991
100	6543	42045
101	6627	42101
102	6651	41784
103	6676	41469
104	6740	41404
105	6825	41467
106	6909	41519
107	6995	41586
108	7080	41636
109	7164	41685
110	7248	41727
111	7332	41770
112	7417	41812
113	7442	41522
114	7528	41567
115	7545	41242
116	7630	41283
117	7714	41319
118	7799	41359
119	7864	41288
120	7882	40976
121	7967	41011
122	8005	40806
123	8089	40837
124	8173	40866
125	8190	40564
126	8274	40592
127	8299	40332
128	8385	40367
129	8469	40392
130	8554	40419
131	8637	40438
132	8720	40455
133	8803	40468
134	8813	40150
135	8823	39836
136	8833	39526
137	8842	39215
138	8854	38922
139	8864	38624
140	8875	38333
141	8886	38051
142	8896	37764
143	8907	37485
144	8918	37211
145	8928	36937
146	8938	36666
147	9022	36699
148	9107	36736
149	9193	36774
150	9278	36808
151	9363	36837
152	9448	36867
153	9533	36896
154	9620	36931
155	9707	36962
156	9792	36986
157	9878	37011
158	9963	37033
159	10047	37049
160	10131	37065
161	10216	37081
162	10300	37093
163	10309	36839
164	10394	36853
165	10406	36609
166	10417	36366
167	10427	36124
168	10437	35884
169	10448	35648
170	10460	35419
171	10472	35192
172	10483	34964
173	10495	34742
174	10506	34521
175	10517	34300
176	10529	34086
177	10539	33867
178	10549	33653
179	10561	33444
180	10571	33231
181	10581	33023
182	10591	32817
183	10602	32614
184	10614	32416
185	10624	32217
186	10635	32020
187	10647	31828
188	10657	31634
189	10669	31446
190	10752	31468
191	10836	31492
192	10920	31517
193	11005	31540
194	11089	31561
195	11173	31582
196	11258	31602
197	11342	31620
198	11428	31643
199	11512	31660
200	11597	31676
201	11680	31687
202	11699	31523
203	11785	31542
204	11824	31435
205	11837	31259
206	11876	31153
207	11915	31048
208	11929	30878
209	11967	30773
210	11978	30600
211	11991	30430
212	12002	30260
213	12028	30126
214	12112	30139
215	12195	30150
216	12280	30163
217	12363	30171
218	12448	30182
219	12459	30015
220	12543	30024
221	12628	30035
222	12713	30045
223	12797	30051
224	12881	30056
225	12919	29954
226	12933	29798
227	12947	29643
228	12962	29490
229	13045	29494
230	13061	29345
231	13144	29349
232	13229	29354
233	13241	29198
234	13253	29045
235	13267	28896
236	13278	28743
237	13362	28746
238	13380	28608
239	13394	28463
240	13412	28327
241	13427	28185
242	13511	28190
243	13529	28057
244	13614	28063
245	13629	27923
246	13640	27777
247	13654	27639
248	13668	27502
249	13683	27366
250	13766	27369
251	13780	27232
252	13817	27144
253	13831	27010
254	13844	26874
255	13929	26880
256	13942	26744
257	14027	26750
258	14113	26756
259	14197	26757
260	14282	26758
261	14365	26757
262	14389	26645
263	14401	26511
264	14418	26389
265	14431	26258
266	14443	26127
267	14527	26128
268	14612	26127
269	14695	26126
270	14780	26124
271	14863	26120
272	14881	26001
273	14894	25874
274	14977	25870
275	15061	25866
276	15145	25861
277	15158	25735
278	15241	25730
279	15252	25602
280	15336	25596
281	15420	25591
282	15433	25468
283	15447	25346
284	15460	25224
285	15472	25102
286	15483	24978
287	15496	24858
288	15509	24740
289	15519	24616
290	15529	24495
291	15541	24375
292	15550	24255
293	15561	24136
294	15571	24017
295	15582	23900
296	15592	23781
297	15603	23666
298	15614	23551
299	15624	23436
300	15633	23320
301	15643	23206
302	15652	23091
303	15663	22980
304	15674	22869
305	15686	22760
306	15695	22649
307	15705	22538
308	15715	22429
309	15726	22321
310	15736	22213
311	15746	22105
312	15756	21998
313	15766	21891
314	15776	21785
315	15785	21679
316	15796	21576
317	15806	21473
318	15816	21369
319	15827	21267
320	15837	21166
321	15847	21064
322	15858	20964
