feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,38.749679970538224,0.4676118725617823,0.4676118725617823,1,home_21,Germany,day1
lag3,11.861641715585074,0.14314039492710284,0.6107522674888852,1,home_21,Germany,day1
sin_2880.0_2,3.3557995864351597,0.04049612099372401,0.6512483884826092,1,home_21,Germany,day1
lag2,2.2406778101285,0.02703938580650085,0.6782877742891101,1,home_21,Germany,day1
lag94,1.2992720658570533,0.015678969326832177,0.6939667436159423,1,home_21,Germany,day1
lag93,1.0615133588218668,0.012809815457713205,0.7067765590736556,1,home_21,Germany,day1
rolling_std_lag4_window_size4,1.03920629385334,0.01254062488815957,0.7193171839618151,1,home_21,Germany,day1
lag96,0.9980670662236207,0.0120441771424671,0.7313613611042822,1,home_21,Germany,day1
lag47,0.8851692393705661,0.01068178229783738,0.7420431434021195,1,home_21,Germany,day1
direct_radiation,0.631560079695032,0.007621353046683249,0.7496644964488027,1,home_21,Germany,day1
lag37,0.6006959017433473,0.007248899492020591,0.7569133959408233,1,home_21,Germany,day1
lag95,0.594413410245511,0.0071730855081143935,0.7640864814489376,1,home_21,Germany,day1
lag72,0.5809261113998445,0.007010327491175476,0.7710968089401131,1,home_21,Germany,day1
lag86,0.5708060556041573,0.006888203689258945,0.777985012629372,1,home_21,Germany,day1
lag89,0.5452831768607667,0.006580206277888364,0.7845652189072604,1,home_21,Germany,day1
hour_cos,0.5401466396851902,0.00651822110100482,0.7910834400082652,1,home_21,Germany,day1
lag6,0.5289216749895104,0.006382763807814849,0.7974662038160801,1,home_21,Germany,day1
lag83,0.5110913961952519,0.006167596868071837,0.803633800684152,1,home_21,Germany,day1
lag49,0.4988404815506556,0.0060197589209736975,0.8096535596051257,1,home_21,Germany,day1
lag69,0.49380046501755714,0.005958938507216052,0.8156124981123418,1,home_21,Germany,day1
lag4,0.4860710931314543,0.005865664290135163,0.821478162402477,1,home_21,Germany,day1
direct_radiation_window_8_mean,0.47735736708177684,0.00576051137640328,0.8272386737788803,1,home_21,Germany,day1
lag12,0.4755659838845986,0.005738893854608388,0.8329775676334886,1,home_21,Germany,day1
lag53,0.45248565379888533,0.005460371906067647,0.8384379395395563,1,home_21,Germany,day1
rolling_std_lag96_window_size96,0.4284007347837132,0.005169727077781415,0.8436076666173377,1,home_21,Germany,day1
lag10,0.4145893684220255,0.005003058375177007,0.8486107249925147,1,home_21,Germany,day1
lag60,0.4086237766680824,0.004931068579825887,0.8535417935723405,1,home_21,Germany,day1
temperature_2m_weighted_96_mean,0.38902035566025006,0.004694504241409181,0.8582362978137497,1,home_21,Germany,day1
lag7,0.3737963777517507,0.004510788844971193,0.8627470866587209,1,home_21,Germany,day1
cos_96.0_2,0.37096401640105797,0.004476609316366672,0.8672236959750875,1,home_21,Germany,day1
direct_radiation_window_16_std,0.35962000621707374,0.0043397154414101325,0.8715634114164976,1,home_21,Germany,day1
direct_radiation_window_2_std,0.3375570674706069,0.004073470865731177,0.8756368822822288,1,home_21,Germany,day1
lag50,0.3297257612149906,0.00397896655535809,0.8796158488375869,1,home_21,Germany,day1
rolling_mean_lag4_window_size4,0.32847550054605107,0.00396387903120208,0.883579727868789,1,home_21,Germany,day1
lag90,0.32435939151837373,0.003914207873877321,0.8874939357426663,1,home_21,Germany,day1
lag48,0.32204894933938705,0.0038863266063524503,0.8913802623490188,1,home_21,Germany,day1
wind_speed_10m_weighted_96_std,0.3194756142329197,0.003855272877682199,0.895235535226701,1,home_21,Germany,day1
lag41,0.30971580223224465,0.003737496318780125,0.8989730315454811,1,home_21,Germany,day1
temperature_2m_Exp_weighted_96_SL.win,0.30559504921575353,0.0036877691201072306,0.9026608006655884,1,home_21,Germany,day1
sin_672.0_2,0.3028662036446576,0.003654838768465558,0.9063156394340539,0,home_21,Germany,day1
temperature_2m_window_4_mean,0.30061971880659255,0.0036277293063330207,0.909943368740387,0,home_21,Germany,day1
lag52,0.28245154505996195,0.0034084848182972726,0.9133518535586842,0,home_21,Germany,day1
lag71,0.27419905323890814,0.0033088978499228815,0.916660751408607,0,home_21,Germany,day1
temperature_2m_window_8_mean,0.27351828194455263,0.0033006826404041985,0.9199614340490112,0,home_21,Germany,day1
lag17,0.2692660745179637,0.003249369115265922,0.9232108031642772,0,home_21,Germany,day1
lag46,0.2613996003198508,0.0031544404156473634,0.9263652435799246,0,home_21,Germany,day1
precipitation_expanding_mean,0.2599538129839402,0.0031369933728850673,0.9295022369528096,0,home_21,Germany,day1
direct_radiation_window_16_mean,0.25059358365620027,0.0030240387790179688,0.9325262757318277,0,home_21,Germany,day1
lag32,0.23927957556445562,0.002887506954394324,0.935413782686222,0,home_21,Germany,day1
lag54,0.2339495118471632,0.002823186395421664,0.9382369690816437,0,home_21,Germany,day1
lag92,0.2312268474876646,0.002790330635568412,0.9410272997172121,0,home_21,Germany,day1
wind_speed_10m_window_16_std,0.23048336344941162,0.0027813586398355026,0.9438086583570476,0,home_21,Germany,day1
lag8,0.22616303745742244,0.0027292230937167373,0.9465378814507643,0,home_21,Germany,day1
lag18,0.222080065366913,0.002679951816474906,0.9492178332672393,0,home_21,Germany,day1
precipitation_weighted_96_std,0.21350001797145524,0.0025764120702806326,0.9517942453375199,0,home_21,Germany,day1
cos_2880.0_2,0.21056375551841028,0.002540978714829823,0.9543352240523497,0,home_21,Germany,day1
lag43,0.19451548400268165,0.002347316152956914,0.9566825402053066,0,home_21,Germany,day1
lag73,0.1864866667252727,0.0022504283777701234,0.9589329685830768,0,home_21,Germany,day1
lag66,0.180569341315163,0.0021790210366596265,0.9611119896197364,0,home_21,Germany,day1
