feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,47.71253717173054,0.5765039429885188,0.5765039429885188,1,home_10,Ireland,day5
lag4,3.378759835915912,0.040825084627251124,0.6173290276157699,1,home_10,Ireland,day5
sin_2880.0_2,3.3648427928914884,0.040656926934243866,0.6579859545500137,1,home_10,Ireland,day5
hour,2.093435741275118,0.02529469256464663,0.6832806471146604,1,home_10,Ireland,day5
lag3,1.9952350837857353,0.024108147693999146,0.7073887948086596,1,home_10,Ireland,day5
lag2,1.7880432255198344,0.02160467732067802,0.7289934721293376,1,home_10,Ireland,day5
lag94,1.40451889822084,0.016970606277168475,0.7459640784065061,1,home_10,Ireland,day5
direct_radiation_window_16_mean,1.200477701607656,0.014505204909888181,0.7604692833163943,1,home_10,Ireland,day5
direct_radiation_window_8_mean,1.099952675837244,0.013290575020954045,0.7737598583373484,1,home_10,Ireland,day5
lag78,0.9695712738876636,0.011715194695951349,0.7854750530332998,1,home_10,Ireland,day5
lag79,0.9060772392360377,0.01094800511638315,0.796423058149683,1,home_10,Ireland,day5
hour_cos,0.7428955542142035,0.00897630353824245,0.8053993616879254,1,home_10,Ireland,day5
direct_radiation_window_8_std,0.7233063553860347,0.008739609976468993,0.8141389716643943,1,home_10,Ireland,day5
lag77,0.6292202930076428,0.007602781185617262,0.8217417528500116,1,home_10,Ireland,day5
direct_radiation_window_16_std,0.6228569294579757,0.007525893549903224,0.8292676463999148,1,home_10,Ireland,day5
hour_sin,0.6178451463627426,0.0074653368726214095,0.8367329832725362,1,home_10,Ireland,day5
lag76,0.617620546922501,0.007462623068858968,0.8441956063413951,1,home_10,Ireland,day5
direct_radiation_window_4_std,0.5379998580479765,0.006500577371846191,0.8506961837132413,1,home_10,Ireland,day5
lag6,0.4874736445565532,0.005890076169672777,0.856586259882914,1,home_10,Ireland,day5
lag96,0.45522051352537574,0.005500366078459769,0.8620866259613738,1,home_10,Ireland,day5
direct_radiation_window_4_mean,0.4421239070146271,0.005342121605606853,0.8674287475669806,1,home_10,Ireland,day5
cos_2880.0_2,0.4262780134425611,0.005150657880012208,0.8725794054469929,1,home_10,Ireland,day5
lag11,0.4103716030169494,0.004958462937702746,0.8775378683846956,1,home_10,Ireland,day5
cos_672.0_2,0.3786933559932777,0.004575699089903606,0.8821135674745992,1,home_10,Ireland,day5
lag7,0.36762572462641857,0.004441970441192841,0.8865555379157921,1,home_10,Ireland,day5
rolling_std_lag4_window_size4,0.3484422731151426,0.00421017946775175,0.8907657173835438,1,home_10,Ireland,day5
direct_radiation_window_2_mean,0.3475547036718808,0.004199455089757035,0.8949651724733009,1,home_10,Ireland,day5
lag75,0.3364942018396846,0.00406581258622086,0.8990309850595217,1,home_10,Ireland,day5
lag91,0.32362178023746535,0.003910276908401428,0.9029412619679231,1,home_10,Ireland,day5
relative_humidity_2m_weighted_96_mean,0.3148840213147082,0.0038046997840133073,0.9067459617519364,0,home_10,Ireland,day5
lag17,0.2971099471147795,0.003589938120378689,0.9103358998723151,0,home_10,Ireland,day5
relative_humidity_2m_weighted_96_std,0.280068900901324,0.0033840335318352935,0.9137199334041504,0,home_10,Ireland,day5
relative_humidity_2m_Exp_weighted_96_SL.win,0.26675940857040814,0.0032232167892602484,0.9169431501934107,0,home_10,Ireland,day5
lag82,0.2589301769950339,0.0031286172743040888,0.9200717674677148,0,home_10,Ireland,day5
lag43,0.24730651560895467,0.0029881701922946156,0.9230599376600094,0,home_10,Ireland,day5
rolling_mean_lag4_window_size4,0.23168334229302445,0.002799397564542527,0.9258593352245519,0,home_10,Ireland,day5
lag5,0.23035908779766032,0.002783396781868785,0.9286427320064207,0,home_10,Ireland,day5
direct_radiation,0.21810460534552475,0.0026353275767558447,0.9312780595831766,0,home_10,Ireland,day5
lag80,0.21592889502430807,0.002609038771897959,0.9338870983550746,0,home_10,Ireland,day5
lag72,0.21525311215999637,0.002600873381646807,0.9364879717367214,0,home_10,Ireland,day5
temperature_2m_window_16_std,0.2124470273031534,0.002566967849050464,0.9390549395857718,0,home_10,Ireland,day5
temperature_2m_window_2_std,0.17941610337185238,0.0021678597945278166,0.9412227993802996,0,home_10,Ireland,day5
lag81,0.1792777435555081,0.0021661880121326246,0.9433889873924323,0,home_10,Ireland,day5
lag68,0.17887536121812672,0.0021613260823791437,0.9455503134748114,0,home_10,Ireland,day5
lag10,0.17882023041291858,0.002160659944536416,0.9477109734193478,0,home_10,Ireland,day5
temperature_2m_window_4_mean,0.17753484881172882,0.0021451288576301883,0.949856102276978,0,home_10,Ireland,day5
lag93,0.16928524680332657,0.002045450065265573,0.9519015523422436,0,home_10,Ireland,day5
sin_2880.0_1,0.1666551606643793,0.0020136711006708977,0.9539152234429145,0,home_10,Ireland,day5
direct_radiation_weighted_96_mean,0.16589245295375576,0.002004455409605474,0.9559196788525199,0,home_10,Ireland,day5
temperature_2m,0.1611093417701568,0.0019466617431908723,0.9578663405957109,0,home_10,Ireland,day5
temperature_2m_window_2_mean,0.15711469160955857,0.0018983949415291683,0.9597647355372401,0,home_10,Ireland,day5
relative_humidity_2m_window_16_mean,0.14492030476870923,0.0017510518633194801,0.9615157874005595,0,home_10,Ireland,day5
lag29,0.13146743655897808,0.0015885027299648597,0.9631042901305245,0,home_10,Ireland,day5
temperature_2m_window_4_std,0.1281541696362524,0.001548468987088228,0.9646527591176127,0,home_10,Ireland,day5
lag35,0.12143809587539636,0.0014673196030049753,0.9661200787206177,0,home_10,Ireland,day5
relative_humidity_2m_window_8_std,0.11650290630886957,0.001407688394665373,0.967527767115283,0,home_10,Ireland,day5
sin_96.0_1,0.11412739043137207,0.0013789853670925578,0.9689067524823756,0,home_10,Ireland,day5
lag19,0.11383481498095308,0.0013754502186643554,0.9702822027010399,0,home_10,Ireland,day5
WorkingHour_flag,0.10834401057796868,0.0013091055936215532,0.9715913082946614,0,home_10,Ireland,day5
expanding_std_lag1,0.10670259268748623,0.0012892725698075169,0.9728805808644689,0,home_10,Ireland,day5
cos_96.0_2,0.10351564139167521,0.0012507650810622735,0.9741313459455312,0,home_10,Ireland,day5
temperature_2m_window_16_mean,0.10124994456053855,0.0012233889817350554,0.9753547349272662,0,home_10,Ireland,day5
lag87,0.09898054033769768,0.0011959680865101054,0.9765507030137763,0,home_10,Ireland,day5
relative_humidity_2m_window_4_std,0.09631462699524036,0.001163756226804121,0.9777144592405804,0,home_10,Ireland,day5
precipitation_window_2_std,0.09517474863833968,0.0011499832353382665,0.9788644424759186,0,home_10,Ireland,day5
lag30,0.09449586923128664,0.0011417804299923443,0.980006222905911,0,home_10,Ireland,day5
lag45,0.09317817375690537,0.0011258588990558376,0.9811320818049668,0,home_10,Ireland,day5
temperature_2m_window_8_std,0.08957996184420836,0.0010823822055421011,0.9822144640105089,0,home_10,Ireland,day5
direct_radiation_weighted_96_std,0.08496314262069973,0.0010265978217262074,0.9832410618322351,0,home_10,Ireland,day5
lag74,0.08290360463685147,0.0010017127110445092,0.9842427745432797,0,home_10,Ireland,day5
temperature_2m_window_8_mean,0.08257154692895483,0.0009977005039968495,0.9852404750472765,0,home_10,Ireland,day5
lag18,0.07375253164993864,0.0008911415703704654,0.986131616617647,0,home_10,Ireland,day5
direct_radiation_window_2_std,0.06680269381340623,0.0008071676475109275,0.9869387842651579,0,home_10,Ireland,day5
lag69,0.06486447072974215,0.0007837483678758517,0.9877225326330338,0,home_10,Ireland,day5
precipitation_window_2_mean,0.06327827470108786,0.0007645825821290033,0.9884871152151627,0,home_10,Ireland,day5
wind_speed_10m_window_4_std,0.06243755523848904,0.0007544242859270864,0.9892415395010898,0,home_10,Ireland,day5
day_of_week_cos,0.06098750591047519,0.0007369035418065425,0.9899784430428964,0,home_10,Ireland,day5
lag60,0.06015074609815656,0.0007267930895076057,0.990705236132404,0,home_10,Ireland,day5
