feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,101.42153437629561,0.3842316819268168,0.3842316819268168,1,home_17,Portugal,day1
lag2,25.315712302525686,0.09590762728046721,0.480139309207284,1,home_17,Portugal,day1
sin_2880.0_2,15.09721184215167,0.05719522125343797,0.537334530460722,1,home_17,Portugal,day1
lag3,12.969103245996042,0.04913296159376845,0.5864674920544904,1,home_17,Portugal,day1
cos_2880.0_2,8.52295174462754,0.03228888326288944,0.6187563753173799,1,home_17,Portugal,day1
hour,7.886186706679814,0.029876522781188505,0.6486328980985684,1,home_17,Portugal,day1
lag4,5.919872303385228,0.022427214357479772,0.6710601124560481,1,home_17,Portugal,day1
lag96,5.146338034916016,0.019496708771760483,0.6905568212278086,1,home_17,Portugal,day1
hour_cos,4.724660361982581,0.01789919871141113,0.7084560199392197,1,home_17,Portugal,day1
hour_sin,4.3163666580550855,0.01635239331603883,0.7248084132552586,1,home_17,Portugal,day1
direct_radiation_window_8_mean,3.521386369022639,0.013340640285165776,0.7381490535404244,1,home_17,Portugal,day1
lag95,2.6592744976988003,0.010074561770726988,0.7482236153111513,1,home_17,Portugal,day1
direct_radiation_window_16_std,2.5542540181460938,0.00967669561987995,0.7579003109310313,1,home_17,Portugal,day1
direct_radiation_window_8_std,2.5435475335695967,0.00963613450431757,0.7675364454353488,1,home_17,Portugal,day1
lag5,2.3932131809932797,0.009066598443785656,0.7766030438791345,1,home_17,Portugal,day1
direct_radiation_window_16_mean,2.1696828742921186,0.008219762254276399,0.7848228061334109,1,home_17,Portugal,day1
direct_radiation,2.06367616371615,0.00781815980415952,0.7926409659375705,1,home_17,Portugal,day1
direct_radiation_window_4_std,2.032688210850779,0.00770076310608991,0.8003417290436604,1,home_17,Portugal,day1
direct_radiation_window_4_mean,1.8970672934590198,0.007186968343327253,0.8075286973869876,1,home_17,Portugal,day1
lag17,1.8837643366418775,0.0071365705899913,0.8146652679769789,1,home_17,Portugal,day1
lag94,1.8331075622433104,0.006944659298687686,0.8216099272756666,1,home_17,Portugal,day1
rolling_mean_lag4_window_size4,1.7742020533979257,0.00672149798607687,0.8283314252617435,1,home_17,Portugal,day1
rolling_std_lag4_window_size4,1.6606468408304864,0.006291298319066685,0.8346227235808102,1,home_17,Portugal,day1
day_of_week_cos,1.4349176867187226,0.005436131878550361,0.8400588554593607,1,home_17,Portugal,day1
lag70,1.1950215118112055,0.0045272942106983505,0.844586149670059,1,home_17,Portugal,day1
lag19,1.0237219956201558,0.003878332413540603,0.8484644820835996,1,home_17,Portugal,day1
lag16,1.0187417348583836,0.0038594648822939345,0.8523239469658935,1,home_17,Portugal,day1
lag10,0.9805518232821555,0.0037147838335619397,0.8560387307994555,1,home_17,Portugal,day1
lag26,0.9581469695133251,0.003629903884743751,0.8596686346841992,1,home_17,Portugal,day1
lag11,0.9028811759844302,0.0034205314972008695,0.8630891661814001,1,home_17,Portugal,day1
lag30,0.8721757567024383,0.0033042051670231502,0.8663933713484232,1,home_17,Portugal,day1
lag25,0.8345981216120322,0.003161843704810905,0.8695552150532341,1,home_17,Portugal,day1
lag43,0.8232244707228347,0.0031187550546767956,0.8726739701079109,1,home_17,Portugal,day1
sin_672.0_1,0.7957076978594841,0.00301450879195259,0.8756884788998636,1,home_17,Portugal,day1
lag18,0.7674803624201786,0.0029075705895397134,0.8785960494894033,1,home_17,Portugal,day1
lag8,0.7302409270439171,0.002766490384269518,0.8813625398736729,1,home_17,Portugal,day1
lag9,0.70090145069355,0.0026553388776956992,0.8840178787513685,1,home_17,Portugal,day1
lag93,0.6855827705885986,0.002597304632228792,0.8866151833835973,1,home_17,Portugal,day1
sin_96.0_2,0.6713321568949823,0.0025433167163324286,0.8891585000999298,1,home_17,Portugal,day1
lag13,0.6616345735157892,0.002506577785144618,0.8916650778850744,1,home_17,Portugal,day1
lag12,0.6358973521840312,0.002409073286704143,0.8940741511717786,1,home_17,Portugal,day1
direct_radiation_window_2_mean,0.6326965908438865,0.0023969473223245546,0.8964710984941031,1,home_17,Portugal,day1
sin_2880.0_1,0.6326176069911753,0.0023966480949587005,0.8988677465890618,1,home_17,Portugal,day1
cos_96.0_1,0.6260708182940107,0.002371845831338846,0.9012395924204006,1,home_17,Portugal,day1
lag14,0.6204414731387828,0.002350519268193837,0.9035901116885945,0,home_17,Portugal,day1
cos_2880.0_1,0.5857904348877241,0.0022192451084249967,0.9058093567970195,0,home_17,Portugal,day1
